text,label
@PizzaFria restaurante cancelou meu gyoza depois de 30 min esperando. 😡😡 #pessimo #fome,negative
"@BurgerKingBR Comida temperatura perfeita, bem embalado. Sashimi excelente! #fome #amominhavida",positive
Vieram com bilhetinho fofo e o wrap tava de outro nível! Que atendimento ❤️ @ZehDelivery #amominhavida #sextou,positive
Acarajé delicioso! super recomendo @iFood #amominhavida #sextou,positive
Demorou horrores e o virado à paulista chegou péssimo. fiquei p da vida @AtendimentoRuim #descaso #procon,negative
"Virado à paulista igual qualquer outro do bairro. Normal, sem destaque @Fome #ifood #comida",neutral
@ReclameAQUI bobó de camarão nojento e ainda por cima não vale o preço. 0 estrelas se pudesse #decepcao #indignado,negative
"panqueca top, motoboy gente boa demais, preço justo  @RestauranteFavorito #sextou #recomendo",positive
Feijoada com gosto de queimado. Impossível comer @ProconSP #fome #descaso,negative
@Mcdonalds_BR primeira vez pedindo sorvete aqui e já virou favorito. espetacular! recomendo demais 👏 #perfeito #delicia,positive
@iFood Meus amigos adoram o picanha daqui mas eu acho básico. Vai de cada um sem mais #ifood #comida,neutral
"Peço pizza margherita aqui quando não tem nada melhor. É ok sempre, constante pelo menos @Almoco #jantar #ifood",neutral
@Delivery costela básico. normal #comida #delivery,neutral
"comida temperatura perfeita, nada vazou. açaí melhor que já comi! @RestauranteFavorito #comidaboa #perfeito",positive
Já é a quinta vez que peço polenta frita aqui. Sempre de cair o queixo! rsrs @iFood #fome #comidaboa,positive
meu! esse frango à passarinho me fez chorar de tão bom  não vão se arrepender @Mcdonalds_BR #delicia #fome,positive
Marmitex com tempero na medida e embalagem top. vou pedir sempre @Mcdonalds_BR #delicia #comidaboa,positive
"@RestauranteFavorito ramen top, entrega impecável, barato pelo que entrega  #delicia #amominhavida",positive
Tutu de feijão: sabor é o que é mas entrega super rápida. Compensa mais pela entrega @Delivery #comida #delivery,neutral
crepe: sabor meh mas delivery surpreendeu. compensa mais pela entrega @Almoco #delivery #almoço,neutral
"Tudo organizadinho, temperatura perfeita, pizza doce com sabor chef's kiss. Nota 10! @iFood #perfeito #amominhavida",positive
"@Delivery sushi quase bom, falta tempero. na média #jantar #almoço",neutral
@Mcdonalds_BR Pedido de madrugada e mesmo assim o sushi veio fantástico. chegou antes do previsto! #recomendo #sextou,positive
@Mcdonalds_BR Hambúrguer com tempero caseiro e porção generosa. top top top #perfeito #amominhavida,positive
@SushidaEsquina Amigo indicou esse costela e realmente é chef's kiss. vou pedir sempre rs #sextou #perfeito,positive
@Almoco Sorvete dá pro gasto. ok né #delivery #jantar,neutral
